날짜,기준금리
202001월,1.25
202002월,1.25
202003월,0.75
202004월,0.75
202005월,0.5
202006월,0.5
202007월,0.5
202008월,0.5
202009월,0.5
202010월,0.5
202011월,0.5
202012월,0.5
202101월,0.5
202102월,0.5
202103월,0.5
202104월,0.5
202105월,0.5
202106월,0.5
202107월,0.5
202108월,0.75
202109월,0.75
202110월,0.75
202111월,1
202112월,1
202201월,1.25
202202월,1.25
202203월,1.25
202204월,1.5
202205월,1.75
202206월,1.75
202207월,2.25
202208월,2.5
202209월,2.5
202210월,3
202211월,3.25
202212월,3.25
202301월,3.5
202302월,3.5
202303월,3.5
202304월,3.5
202305월,3.5
202306월,3.5
202307월,3.5
202308월,3.5
202309월,3.5
202310월,3.5
202311월,3.5
202312월,3.5
202401월,3.5
202402월,3.5
